Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = O3 -> O2 + O(3P)                                  
   3 = CHOCHO -> 2 HO2 + 2 CO                            
   4 = CHOCHO -> H2 + 2 CO                               
   5 = CHOCHO -> CH2O + CO                               
   6 = c-C6H10O + hv -> 5-hexenal                        
   7 = c-C6H10O + hv -> cyclopentane + CO                
   8 = c-C6H10O + hv -> 1-pentene + CO                   
values at z =      0.500 km
Columns: sza, photo-reactions
 sza, deg.          1          2          3          4          5          6          7          8
   62.5000  6.102E-06  3.442E-04  7.989E-05  0.000E+00  1.029E-05  4.009E-06  3.950E-08  1.348E-07
   63.0000  5.826E-06  3.407E-04  7.843E-05  0.000E+00  1.001E-05  3.891E-06  3.723E-08  1.284E-07
   63.5000  5.556E-06  3.371E-04  7.695E-05  0.000E+00  9.729E-06  3.772E-06  3.504E-08  1.222E-07
   64.0000  5.294E-06  3.335E-04  7.545E-05  0.000E+00  9.448E-06  3.655E-06  3.292E-08  1.161E-07
   64.5000  5.039E-06  3.298E-04  7.394E-05  0.000E+00  9.169E-06  3.538E-06  3.088E-08  1.102E-07
   65.0000  4.790E-06  3.260E-04  7.240E-05  0.000E+00  8.890E-06  3.421E-06  2.892E-08  1.044E-07
   65.5000  4.549E-06  3.221E-04  7.085E-05  0.000E+00  8.612E-06  3.305E-06  2.704E-08  9.883E-08
   66.0000  4.315E-06  3.181E-04  6.928E-05  0.000E+00  8.334E-06  3.190E-06  2.523E-08  9.340E-08
   66.5000  4.088E-06  3.140E-04  6.770E-05  0.000E+00  8.058E-06  3.076E-06  2.350E-08  8.814E-08
   67.0000  3.868E-06  3.098E-04  6.610E-05  0.000E+00  7.784E-06  2.962E-06  2.185E-08  8.305E-08
   67.5000  3.656E-06  3.056E-04  6.448E-05  0.000E+00  7.511E-06  2.850E-06  2.028E-08  7.813E-08
   68.0000  3.450E-06  3.012E-04  6.284E-05  0.000E+00  7.240E-06  2.739E-06  1.878E-08  7.338E-08
   68.5000  3.253E-06  2.967E-04  6.119E-05  0.000E+00  6.971E-06  2.629E-06  1.735E-08  6.880E-08
   69.0000  3.062E-06  2.922E-04  5.953E-05  0.000E+00  6.705E-06  2.520E-06  1.601E-08  6.439E-08
   69.5000  2.879E-06  2.875E-04  5.785E-05  0.000E+00  6.440E-06  2.413E-06  1.473E-08  6.016E-08
   70.0000  2.702E-06  2.827E-04  5.616E-05  0.000E+00  6.179E-06  2.307E-06  1.353E-08  5.611E-08
   70.5000  2.533E-06  2.777E-04  5.445E-05  0.000E+00  5.921E-06  2.203E-06  1.239E-08  5.223E-08
   71.0000  2.372E-06  2.727E-04  5.274E-05  0.000E+00  5.665E-06  2.101E-06  1.133E-08  4.852E-08
   71.5000  2.217E-06  2.675E-04  5.101E-05  0.000E+00  5.413E-06  2.000E-06  1.034E-08  4.498E-08
